kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,
gauss_kernel_cpu,221,0,1,1,32,0,0,0,0,1,32,
gauss_kernel_cpu_collapse,220,0,2,1,32,0,0,0,0,1,32,
gauss_kernel_gpu,103,1,1,1,32,4,0,4,0,1,32,
gauss_kernel_gpu_collapse,102,1,2,32,32,4,0,4,0,1,32,
gauss_kernel_gpu_mem,166,1,1,1,32,8196,0,8196,8192,1,32,
gauss_kernel_gpu_collapse_mem,162,1,2,32,32,8196,0,8196,8192,1,32,
gauss_kernel_cpu,223,0,1,1,64,0,0,0,0,1,64,
gauss_kernel_cpu_collapse,225,0,2,1,64,0,0,0,0,1,64,
gauss_kernel_gpu,102,1,1,1,64,4,0,4,0,1,64,
gauss_kernel_gpu_collapse,103,1,2,64,64,4,0,4,0,1,64,
gauss_kernel_gpu_mem,220,1,1,1,64,32772,0,32772,32768,1,64,
gauss_kernel_gpu_collapse_mem,221,1,2,64,64,32772,0,32772,32768,1,64,
gauss_kernel_cpu,241,0,1,1,96,0,0,0,0,1,96,
gauss_kernel_cpu_collapse,223,0,2,1,96,0,0,0,0,1,96,
gauss_kernel_gpu,115,1,1,1,96,4,0,4,0,1,96,
gauss_kernel_gpu_collapse,101,1,2,96,96,4,0,4,0,1,96,
gauss_kernel_gpu_mem,251,1,1,1,96,73732,0,73732,73728,1,96,
gauss_kernel_gpu_collapse_mem,237,1,2,96,96,73732,0,73732,73728,1,96,
gauss_kernel_cpu,245,0,1,1,128,0,0,0,0,1,128,
gauss_kernel_cpu_collapse,244,0,2,1,128,0,0,0,0,1,128,
gauss_kernel_gpu,125,1,1,1,128,4,0,4,0,1,128,
gauss_kernel_gpu_collapse,105,1,2,128,128,4,0,4,0,1,128,
gauss_kernel_gpu_mem,291,1,1,1,128,131076,0,131076,131072,1,128,
gauss_kernel_gpu_collapse_mem,269,1,2,128,128,131076,0,131076,131072,1,128,
gauss_kernel_cpu,246,0,1,1,128,0,0,0,0,1,160,
gauss_kernel_cpu_collapse,258,0,2,1,128,0,0,0,0,1,160,
gauss_kernel_gpu,149,1,1,2,128,4,0,4,0,1,160,
gauss_kernel_gpu_collapse,118,1,2,200,128,4,0,4,0,1,160,
gauss_kernel_gpu_mem,334,1,1,2,128,204804,0,204804,204800,1,160,
gauss_kernel_gpu_collapse_mem,303,1,2,200,128,204804,0,204804,204800,1,160,
gauss_kernel_cpu,216,0,1,1,128,0,0,0,0,1,192,
gauss_kernel_cpu_collapse,219,0,2,1,128,0,0,0,0,1,192,
gauss_kernel_gpu,162,1,1,2,128,4,0,4,0,1,192,
gauss_kernel_gpu_collapse,129,1,2,288,128,4,0,4,0,1,192,
gauss_kernel_gpu_mem,374,1,1,2,128,294916,0,294916,294912,1,192,
gauss_kernel_gpu_collapse_mem,347,1,2,288,128,294916,0,294916,294912,1,192,
gauss_kernel_cpu,246,0,1,1,128,0,0,0,0,1,224,
gauss_kernel_cpu_collapse,243,0,2,1,128,0,0,0,0,1,224,
gauss_kernel_gpu,166,1,1,2,128,4,0,4,0,1,224,
gauss_kernel_gpu_collapse,143,1,2,392,128,4,0,4,0,1,224,
gauss_kernel_gpu_mem,412,1,1,2,128,401412,0,401412,401408,1,224,
gauss_kernel_gpu_collapse_mem,387,1,2,392,128,401412,0,401412,401408,1,224,
gauss_kernel_cpu,257,0,1,1,128,0,0,0,0,1,256,
